Latitude,Longitude,Depth,band_1_561,band_2_676,band_3_805
15.449432,73.763525,XX,0.0422145,0.0291677,0.0294698
15.443851,73.759644,XX,0.0422145,0.0291677,0.0327147
15.449825,73.761146,XX,0.0422145,0.0291677,0.0294698
15.443219,73.767755,XX,0.0406805,0.0291677,0.0294698
15.45318,73.7793,XX,0.0437485,0.0291677,0.0294698
15.452112,73.782381,XX,0.0452826,0.0291677,0.0327147
15.453206,73.783913,XX,0.0452826,0.0291677,0.0294698
15.452102,73.780564,XX,0.0437485,0.0310844,0.0294698
15.4518,73.774974,XX,0.0437485,0.0272509,0.0262248
15.45312,73.768396,XX,0.0406805,0.0253341,0.0294698
15.45086,73.776517,XX,0.0422145,0.0272509,0.0294698
15.451161,73.757503,XX,0.0422145,0.0272509,0.0294698
15.447238,73.759064,XX,0.0422145,0.0291677,0.0294698
15.451733,73.762812,XX,0.0437485,0.0291677,0.0294698
15.447796,73.761997,XX,0.0406805,0.0291677,0.0294698
15.447811,73.764653,XX,0.0422145,0.0272509,0.0262248
15.444954,73.762852,XX,0.0406805,0.0272509,0.0294698
15.442651,73.763146,XX,0.0422145,0.0291677,0.0262248
15.442663,73.765382,XX,0.0422145,0.0291677,0.0294698
15.431005,73.790472,XX,0.0422145,0.0272509,0.0294698
15.421553,73.772915,XX,0.0406805,0.0253341,0.0294698
15.419802,73.775022,XX,0.0406805,0.0291677,0.0294698
15.428084,73.77693,XX,0.0406805,0.0272509,0.0262248
15.448002,73.79932,XX,0.0406805,0.0310844,0.0359597
15.448013,73.801417,XX,0.0422145,0.0330012,0.0327147
15.448817,73.799595,XX,0.0422145,0.0310844,0.0327147
15.433855,73.791015,XX,0.0422145,0.0291677,0.0327147
15.450588,73.801123,XX,0.0376124,0.0330012,0.0359597
15.452067,73.798878,XX,0.0360784,0.0272509,0.0359597
15.451803,73.800277,XX,0.0360784,0.0291677,0.0359597
15.450187,73.802243,XX,0.0345444,0.0291677,0.0327147
15.410619,73.757185,XX,0.0437485,0.0272509,0.0294698
15.428873,73.797334,XX,0.0391465,0.0272509,0.0262248
15.425068,73.795818,XX,0.0452826,0.0310844,0.0294698
15.426568,73.797347,XX,0.0452826,0.0330012,0.0294698
15.447944,73.788696,XX,0.0422145,0.0291677,0.0294698
15.426198,73.804058,XX,0.0468166,0.0330012,0.0294698
15.441296,73.787896,XX,0.0406805,0.0310844,0.0294698
15.426693,73.795389,XX,0.0437485,0.0330012,0.0327147
15.446184,73.789126,XX,0.0406805,0.0291677,0.0294698
15.433566,73.812823,XX,0.0483506,0.0368347,0.0359597
15.422601,73.79094,XX,0.0406805,0.0272509,0.0294698
15.439803,73.812647,XX,0.0483506,0.0330012,0.0327147
15.44699,73.812886,XX,0.0483506,0.034918,0.0359597
15.455264,73.813538,XX,0.0790311,0.0905042,0.1333085
15.452486,73.826555,XX,0.0452826,0.0368347,0.0456946
15.453767,73.812428,XX,0.0437485,0.0310844,0.0424496
15.449708,73.814129,XX,0.0452826,0.0368347,0.0359597
15.451143,73.828939,XX,0.0452826,0.034918,0.0456946
15.449903,73.825172,XX,0.0498846,0.0368347,0.0456946
15.451798,73.824602,XX,0.0468166,0.034918,0.0424496
15.449377,73.82825,XX,0.0468166,0.034918,0.0424496
15.450701,73.822231,XX,0.0452826,0.034918,0.0424496
15.447561,73.818195,XX,0.0468166,0.0330012,0.0359597
15.449314,73.816508,XX,0.0422145,0.0291677,0.0392047
15.451133,73.827122,XX,0.0452826,0.0330012,0.0392047
15.448387,73.820567,XX,0.0498846,0.0406683,0.0392047
15.449077,73.82294,XX,0.0498846,0.0387515,0.0424496
15.444282,73.813601,XX,0.0483506,0.034918,0.0327147
15.445801,73.818764,XX,0.0498846,0.0368347,0.0392047
15.444168,73.817655,XX,0.0483506,0.0368347,0.0392047
15.439956,73.816002,XX,0.0483506,0.0368347,0.0327147
15.449598,73.818883,XX,0.0422145,0.0291677,0.0392047
15.445165,73.826596,XX,0.0514186,0.0387515,0.0359597
15.445016,73.824081,XX,0.0483506,0.0368347,0.0359597
15.443342,73.815283,XX,0.0483506,0.0368347,0.0359597
15.44051,73.818095,XX,0.0468166,0.0368347,0.0327147
15.447816,73.815258,XX,0.0483506,0.0368347,0.0359597
15.443062,73.813607,XX,0.0468166,0.034918,0.0327147
15.443273,73.827865,XX,0.0498846,0.0387515,0.0359597
15.451776,73.820548,XX,0.0437485,0.0330012,0.0424496
15.450799,73.815241,XX,0.0422145,0.0310844,0.0392047
15.448554,73.826577,XX,0.0498846,0.0368347,0.0392047
15.446467,73.816524,XX,0.0483506,0.0368347,0.0392047
15.453542,73.821097,XX,0.0437485,0.0406683,0.0586744
15.449881,73.821118,XX,0.0468166,0.034918,0.0424496
15.405227,73.812564,XX,0.0452826,0.034918,0.0392047
15.401416,73.809791,XX,0.0468166,0.0368347,0.0424496
15.402652,73.812859,XX,0.0483506,0.0368347,0.0456946
15.403055,73.812018,XX,0.0468166,0.034918,0.0392047
15.403343,73.815231,XX,0.0483506,0.0387515,0.0392047
15.403743,73.81397,XX,0.0468166,0.0368347,0.0392047
15.422286,73.807855,XX,0.0514186,0.0406683,0.0294698
15.42963,73.812006,XX,0.0468166,0.034918,0.0327147
15.432086,73.789767,XX,0.0422145,0.0291677,0.0294698
15.443056,73.812489,XX,0.0468166,0.0330012,0.0327147
15.44813,73.797922,XX,0.0437485,0.0330012,0.0359597
15.424071,73.812038,XX,0.0514186,0.042585,0.0327147
15.42449,73.789252,XX,0.0391465,0.0291677,0.0327147
15.425122,73.805742,XX,0.0437485,0.034918,0.0327147
15.423294,73.793592,XX,0.0422145,0.0272509,0.0294698
15.438681,73.805804,XX,0.0406805,0.0310844,0.0327147
15.445282,73.797938,XX,0.0422145,0.0272509,0.0294698
15.444698,73.790253,XX,0.0406805,0.0253341,0.0294698
15.447177,73.797228,XX,0.0437485,0.0291677,0.0294698
15.446779,73.798908,XX,0.0422145,0.0310844,0.0294698
15.437555,73.798122,XX,0.0391465,0.0253341,0.0294698
15.432932,73.795773,XX,0.0422145,0.0272509,0.0262248
15.440259,73.796709,XX,0.0406805,0.0272509,0.0327147
15.441492,73.799078,XX,0.0391465,0.0272509,0.0327147
15.439191,73.79979,XX,0.0376124,0.0310844,0.0294698
15.4438,73.799624,XX,0.0406805,0.0291677,0.0294698
15.432242,73.79354,XX,0.0406805,0.0272509,0.0294698
15.431154,73.792987,XX,0.0406805,0.0272509,0.0294698
15.446001,73.756136,XX,0.0437485,0.0272509,0.0294698
15.449082,73.749548,XX,0.0452826,0.0291677,0.0262248
15.432362,73.74182,XX,0.0468166,0.0291677,0.0262248
15.445947,73.746491,XX,0.0468166,0.0330012,0.0294698
15.446661,73.752917,XX,0.0391465,0.0272509,0.0294698
15.449652,73.803644,XX,0.0391465,0.0291677,0.0392047
15.45078,73.811746,XX,0.0452826,0.0330012,0.0359597
15.451552,73.804053,XX,0.0406805,0.0310844,0.0424496
15.415286,73.767501,XX,0.0437485,0.0291677,0.0262248
15.406494,73.771326,XX,0.0452826,0.0330012,0.0262248
15.420853,73.768866,XX,0.0406805,0.0291677,0.0294698
15.416424,73.777138,XX,0.0406805,0.0272509,0.0294698
15.451502,73.770083,XX,0.0422145,0.0253341,0.0294698
15.401234,73.776249,XX,0.0468166,0.0330012,0.0327147
15.407601,73.775373,XX,0.0452826,0.0330012,0.0262248
15.412306,73.767938,XX,0.0422145,0.0291677,0.0262248
15.409036,73.765162,XX,0.0437485,0.0291677,0.0262248
15.402023,73.771772,XX,0.0452826,0.0310844,0.0262248
15.407027,73.769506,XX,0.0437485,0.0291677,0.0262248
15.405004,73.771475,XX,0.0452826,0.0310844,0.0327147
15.404606,73.773154,XX,0.0468166,0.0330012,0.0327147
15.402033,73.773728,XX,0.0468166,0.0330012,0.0262248
15.403402,73.776096,XX,0.0452826,0.0310844,0.0327147
15.402315,73.775683,XX,0.0468166,0.0330012,0.0294698
15.410177,73.775218,XX,0.0452826,0.0310844,0.0294698
15.407449,73.772299,XX,0.0452826,0.0291677,0.0294698
15.41585,73.771411,XX,0.0437485,0.0291677,0.0262248
15.393065,73.74583,XX,0.0437485,0.0272509,0.0197349
15.430119,73.777198,XX,0.0406805,0.0234174,0.0294698
15.429684,73.772029,XX,0.0422145,0.0272509,0.0294698
15.406875,73.766572,XX,0.0452826,0.0272509,0.0294698
15.403901,73.768267,XX,0.0437485,0.0291677,0.0294698
15.410134,73.767531,XX,0.0437485,0.0291677,0.0262248
15.412421,73.764163,XX,0.0437485,0.0291677,0.0262248
15.401186,73.767584,XX,0.0468166,0.0291677,0.0262248
15.45694,73.772707,XX,0.0468166,0.0272509,0.0294698
15.449374,73.75318,XX,0.0422145,0.0272509,0.0294698
15.454637,73.773,XX,0.0452826,0.0291677,0.0294698
15.460198,73.773387,XX,0.0452826,0.0291677,0.0262248
15.452873,73.772871,XX,0.0437485,0.0310844,0.0294698
15.459964,73.780099,XX,0.0437485,0.0291677,0.0294698
15.462633,73.772394,XX,0.0437485,0.0310844,0.0294698
15.464526,73.771404,XX,0.0437485,0.0291677,0.0294698
15.457255,73.780534,XX,0.0437485,0.0310844,0.0294698
15.459971,73.781357,XX,0.0437485,0.0291677,0.0294698
15.455483,73.778867,XX,0.0437485,0.0291677,0.0294698
15.457108,73.778578,XX,0.0452826,0.0310844,0.0294698
15.462531,73.778406,XX,0.0437485,0.0291677,0.0294698
15.460769,73.778556,XX,0.0437485,0.0291677,0.0294698
15.462274,73.781064,XX,0.0437485,0.0291677,0.0294698
15.465546,73.78426,XX,0.0437485,0.0291677,0.0327147
15.459406,73.777306,XX,0.0452826,0.0291677,0.0294698
15.461316,73.779392,XX,0.0422145,0.0310844,0.0327147
15.458327,73.778291,XX,0.0422145,0.0291677,0.0294698
15.462271,73.780505,XX,0.0437485,0.0310844,0.0359597
15.455192,73.775373,XX,0.0452826,0.0291677,0.0294698
15.454927,73.776493,XX,0.0437485,0.0272509,0.0294698
15.461711,73.777292,XX,0.0437485,0.0272509,0.0294698
15.456139,73.774948,XX,0.0437485,0.0272509,0.0294698
15.457637,73.776058,XX,0.0437485,0.0272509,0.0294698
15.456557,73.777043,XX,0.0437485,0.0272509,0.0294698
15.453166,73.776643,XX,0.0437485,0.0272509,0.0327147
15.464707,73.779651,XX,0.0437485,0.0291677,0.0294698
15.453697,73.774683,XX,0.0452826,0.0272509,0.0262248
15.452625,73.776926,XX,0.0437485,0.0291677,0.0294698
15.451983,73.808524,XX,0.0452826,0.0330012,0.0359597
15.450768,73.80937,XX,0.0452826,0.0368347,0.0392047
15.446394,73.802964,XX,0.0406805,0.0291677,0.0294698
15.459461,73.787231,XX,0.0468166,0.0330012,0.0327147
15.456211,73.787949,XX,0.0422145,0.0291677,0.0327147
15.460274,73.787227,XX,0.0452826,0.034918,0.0327147
15.45959,73.786112,XX,0.0437485,0.0310844,0.0294698
15.455268,73.789073,XX,0.0437485,0.0291677,0.0327147
15.45662,73.788366,XX,0.0437485,0.0310844,0.0327147
15.459465,73.78793,XX,0.0452826,0.0310844,0.0294698
15.458789,73.788354,XX,0.0452826,0.0330012,0.0327147
15.457411,73.784308,XX,0.0452826,0.0291677,0.0294698
15.457144,73.785008,XX,0.0468166,0.0310844,0.0294698
15.458628,73.783741,XX,0.0422145,0.0291677,0.0327147
15.459445,73.784435,XX,0.0422145,0.0310844,0.0294698
15.459854,73.784853,XX,0.0452826,0.034918,0.0327147
15.456607,73.78613,XX,0.0468166,0.0310844,0.0294698
15.458895,73.783041,XX,0.0437485,0.0310844,0.0294698
15.454003,73.756648,XX,0.0437485,0.0310844,0.0327147
15.452768,73.753999,XX,0.0437485,0.0310844,0.0327147
15.457942,73.757882,XX,0.0437485,0.0310844,0.0294698
15.453886,73.759864,XX,0.0452826,0.0310844,0.0327147
15.453906,73.763498,XX,0.0452826,0.0291677,0.0294698
15.455637,73.757756,XX,0.0437485,0.0291677,0.0327147
15.461984,73.729479,XX,0.0498846,0.0330012,0.0262248
15.451127,73.751492,XX,0.0437485,0.0272509,0.0294698
15.452711,73.743794,XX,0.0468166,0.0291677,0.0229798
15.464698,73.729742,XX,0.0514186,0.0330012,0.0262248
15.457783,73.729784,XX,0.0498846,0.034918,0.0262248
15.452871,73.748127,XX,0.0452826,0.0310844,0.0294698
15.454938,73.730221,XX,0.0514186,0.0310844,0.0229798
15.457176,73.766275,XX,0.0437485,0.0291677,0.0294698
15.417532,73.781325,XX,0.0406805,0.0272509,0.0294698
15.431621,73.779146,XX,0.0422145,0.0253341,0.0294698
15.42159,73.779484,XX,0.0406805,0.0272509,0.0327147
15.408171,73.780401,XX,0.0468166,0.0330012,0.0327147
15.420774,73.77907,XX,0.0391465,0.0272509,0.0294698
15.401973,73.787425,XX,0.0406805,0.0291677,0.0392047
15.415781,73.783432,XX,0.0452826,0.0291677,0.0294698
15.407642,73.78278,XX,0.0468166,0.0310844,0.0294698
15.413196,73.781909,XX,0.0452826,0.0310844,0.0294698
15.430546,73.78097,XX,0.0422145,0.0272509,0.0262248
15.429191,73.780977,XX,0.0422145,0.0272509,0.0262248
15.406415,73.78153,XX,0.0468166,0.034918,0.0327147
15.430266,73.779294,XX,0.0391465,0.0234174,0.0262248
15.405336,73.782514,XX,0.0452826,0.0310844,0.0294698
15.401271,73.782957,XX,0.0452826,0.0291677,0.0327147
15.428373,73.780283,XX,0.0391465,0.0253341,0.0294698
15.428641,73.779723,XX,0.0406805,0.0272509,0.0294698
15.431368,73.782502,XX,0.0391465,0.0272509,0.0327147
15.430778,73.773839,XX,0.0422145,0.0272509,0.0294698
15.431323,73.774255,XX,0.0437485,0.0272509,0.0262248
15.427551,73.778751,XX,0.0406805,0.0253341,0.0294698
15.408443,73.830856,XX,0.0483506,0.042585,0.0424496
15.409249,73.829593,XX,0.0514186,0.0406683,0.0392047
15.404626,73.827103,XX,0.0468166,0.034918,0.0424496
15.429034,73.777204,XX,0.0391465,0.0253341,0.0262248
15.42943,73.775245,XX,0.0422145,0.0272509,0.0262248
15.429174,73.778042,XX,0.0422145,0.0272509,0.0294698
15.430786,73.775237,XX,0.0422145,0.0272509,0.0229798
15.406281,73.832405,XX,0.0468166,0.0406683,0.0456946
15.410599,73.828468,XX,0.0514186,0.042585,0.0359597
15.406961,73.832821,XX,0.0483506,0.042585,0.0424496
15.407364,73.83198,XX,0.0468166,0.0406683,0.0456946
15.405014,73.823467,XX,0.0468166,0.0368347,0.0456946
15.409644,73.827355,XX,0.0514186,0.042585,0.0359597
15.405872,73.831849,XX,0.0483506,0.0387515,0.0424496
15.411246,73.822454,XX,0.0498846,0.0406683,0.0392047
15.41176,73.842858,XX,0.0483506,0.0387515,0.0392047
15.411606,73.839504,XX,0.0498846,0.042585,0.0424496
15.405963,73.823462,XX,0.0468166,0.034918,0.0456946
15.438595,73.840752,XX,0.0514186,0.042585,0.0359597
15.407475,73.827367,XX,0.0498846,0.0406683,0.0424496
15.409483,73.822464,XX,0.0498846,0.0368347,0.0392047
15.43508,73.842589,XX,0.0544867,0.0464186,0.0392047
15.440233,73.84284,XX,0.0498846,0.0406683,0.0392047
15.43047,73.842614,XX,0.0529527,0.042585,0.0359597
15.42897,73.841085,XX,0.0514186,0.0406683,0.0359597
15.428978,73.842622,XX,0.0514186,0.0406683,0.0392047
15.433444,73.84092,XX,0.0514186,0.0406683,0.0392047
15.432228,73.841766,XX,0.0514186,0.0406683,0.0359597
15.436152,73.840206,XX,0.0544867,0.042585,0.0359597
15.413994,73.829427,XX,0.0498846,0.0406683,0.0359597
15.407084,73.830304,XX,0.0483506,0.0387515,0.0424496
15.422175,73.787448,XX,0.0406805,0.0253341,0.0294698
15.409633,73.825258,XX,0.0514186,0.0406683,0.0359597
15.410235,73.836576,XX,0.0498846,0.0464186,0.0392047
15.42838,73.781541,XX,0.0406805,0.0272509,0.0294698
15.422185,73.789125,XX,0.0406805,0.0272509,0.0294698
15.410894,73.782342,XX,0.0437485,0.0310844,0.0327147
15.414149,73.782603,XX,0.0437485,0.0291677,0.0327147
15.410485,73.781925,XX,0.0468166,0.0310844,0.0294698
15.411435,73.782059,XX,0.0468166,0.0330012,0.0327147
15.409265,73.781932,XX,0.0483506,0.0310844,0.0327147
15.408591,73.782775,XX,0.0452826,0.0330012,0.0327147
15.40994,73.781509,XX,0.0468166,0.0310844,0.0294698
15.407513,73.783899,XX,0.0422145,0.0330012,0.0392047
15.406703,73.784603,XX,0.0406805,0.0272509,0.0359597
15.405887,73.784188,XX,0.0468166,0.0291677,0.0294698
15.408179,73.781799,XX,0.0452826,0.034918,0.0327147
15.405215,73.78531,XX,0.0452826,0.0310844,0.0359597
15.405896,73.785726,XX,0.0468166,0.0368347,0.0392047
15.404806,73.784754,XX,0.0437485,0.0291677,0.0327147
15.404001,73.786435,XX,0.0452826,0.0310844,0.0392047
15.397911,73.788567,XX,0.0422145,0.0272509,0.0327147
15.403997,73.785597,XX,0.0422145,0.0310844,0.0359597
15.395201,73.788723,XX,0.0437485,0.0291677,0.0327147
15.404799,73.783496,XX,0.0437485,0.0330012,0.0327147
15.392993,73.781747,XX,0.0437485,0.0310844,0.0294698
15.394801,73.790122,XX,0.0437485,0.0330012,0.0392047
15.396525,73.782985,XX,0.0437485,0.0272509,0.0294698
15.395341,73.7897,XX,0.0452826,0.0330012,0.0359597
15.404665,73.783776,XX,0.0437485,0.0310844,0.0327147
15.40426,73.784198,XX,0.0437485,0.0310844,0.0327147
15.409808,73.782209,XX,0.0468166,0.0310844,0.0327147
15.418222,73.783557,XX,0.0422145,0.0310844,0.0294698
15.421341,73.783679,XX,0.0391465,0.0253341,0.0294698
15.402252,73.814119,XX,0.0498846,0.0387515,0.0456946
15.410539,73.817147,XX,0.0498846,0.0368347,0.0392047
15.396821,73.787455,XX,0.0422145,0.0291677,0.0327147
15.398011,73.781998,XX,0.0437485,0.0330012,0.0359597
15.424451,73.781984,XX,0.0406805,0.0272509,0.0294698
15.423235,73.782829,XX,0.0391465,0.0272509,0.0294698
15.427201,73.789096,XX,0.0406805,0.0253341,0.0294698
15.411889,73.816021,XX,0.0483506,0.0368347,0.0359597
15.41188,73.814344,XX,0.0452826,0.034918,0.0359597
15.404142,73.812431,XX,0.0452826,0.034918,0.0359597
15.408898,73.814361,XX,0.0483506,0.0368347,0.0327147
15.409713,73.814775,XX,0.0468166,0.034918,0.0359597
15.408228,73.815902,XX,0.0498846,0.0406683,0.0424496
15.410669,73.816028,XX,0.0468166,0.0368347,0.0359597
15.406573,73.81074,XX,0.0437485,0.0330012,0.0359597
15.406719,73.812556,XX,0.0514186,0.0406683,0.0554295
15.411175,73.809176,XX,0.0452826,0.0330012,0.0359597
15.41037,73.810718,XX,0.0422145,0.034918,0.0359597
15.412268,73.810707,XX,0.0468166,0.0310844,0.0327147
15.408067,73.811151,XX,0.0437485,0.0330012,0.0359597
15.409292,73.811982,XX,0.0452826,0.0330012,0.0359597
15.42516,73.81287,XX,0.0498846,0.0387515,0.0359597
15.425095,73.80071,XX,0.0468166,0.0330012,0.0294698
15.422782,73.799186,XX,0.0468166,0.0330012,0.0294698
15.413893,73.810279,XX,0.0483506,0.034918,0.0327147
15.423381,73.809805,XX,0.0514186,0.0406683,0.0327147
15.423362,73.806171,XX,0.0498846,0.0387515,0.0327147
15.422938,73.802959,XX,0.0468166,0.034918,0.0294698
15.42225,73.801146,XX,0.0483506,0.034918,0.0294698
15.413934,73.817966,XX,0.0483506,0.0387515,0.0359597
15.410549,73.818964,XX,0.0483506,0.0387515,0.0392047
15.41299,73.81895,XX,0.0483506,0.034918,0.0392047
15.404161,73.816065,XX,0.0468166,0.0368347,0.0424496
15.429574,73.801663,XX,0.0422145,0.0310844,0.0294698
15.412844,73.817134,XX,0.0498846,0.0368347,0.0359597
15.429058,73.806418,XX,0.0422145,0.0330012,0.0294698
15.4139,73.811676,XX,0.0483506,0.034918,0.0294698
15.448832,73.802531,XX,0.0406805,0.0291677,0.0327147
15.44922,73.799034,XX,0.0406805,0.0291677,0.0359597
15.447465,73.800442,XX,0.0422145,0.0330012,0.0327147
15.419781,73.771108,XX,0.0406805,0.0253341,0.0294698
15.434663,73.741107,XX,0.0468166,0.0291677,0.0262248
15.437511,73.74123,XX,0.0483506,0.0310844,0.0229798
15.448794,73.746474,XX,0.0437485,0.0291677,0.0262248
15.452174,73.793704,XX,0.0437485,0.0291677,0.0294698
15.446953,73.806036,XX,0.0422145,0.0291677,0.0294698
15.446965,73.808273,XX,0.0498846,0.034918,0.0327147
15.450743,73.804757,XX,0.0406805,0.0291677,0.0327147
15.399616,73.777935,XX,0.0452826,0.0330012,0.0327147
15.400347,73.787714,XX,0.0422145,0.0272509,0.0327147
15.396623,73.776136,XX,0.0437485,0.0291677,0.0262248
15.393199,73.769867,XX,0.0422145,0.0291677,0.0262248
15.394823,73.769298,XX,0.0437485,0.0272509,0.0294698
15.396203,73.773763,XX,0.0422145,0.0272509,0.0262248
15.400352,73.788553,XX,0.0406805,0.0291677,0.0359597
15.395807,73.775721,XX,0.0452826,0.0272509,0.0262248
15.39982,73.790373,XX,0.0376124,0.0310844,0.0456946
15.398024,73.784374,XX,0.0422145,0.0291677,0.0327147
15.399493,73.780172,XX,0.0452826,0.0291677,0.0294698
15.39817,73.786329,XX,0.0437485,0.0310844,0.0327147
15.393829,73.785935,XX,0.0452826,0.0291677,0.0294698
15.395409,73.777261,XX,0.0437485,0.0272509,0.0294698
15.39872,73.787724,XX,0.0406805,0.0310844,0.0359597
15.399529,73.786881,XX,0.0452826,0.0310844,0.0294698
15.395188,73.786486,XX,0.0437485,0.0291677,0.0294698
15.397322,73.779905,XX,0.0452826,0.0291677,0.0294698
15.396902,73.777532,XX,0.0452826,0.0272509,0.0294698
15.398052,73.789405,XX,0.0422145,0.0310844,0.0327147
15.40106,73.769262,XX,0.0452826,0.0310844,0.0294698
15.405492,73.737649,XX,0.0468166,0.0291677,0.0262248
15.397957,73.772215,XX,0.0437485,0.0291677,0.0262248
15.393103,73.776995,XX,0.0452826,0.0291677,0.0294698
15.397267,73.769983,XX,0.0437485,0.0272509,0.0294698
15.40108,73.772895,XX,0.0468166,0.0291677,0.0294698
15.399848,73.770806,XX,0.0437485,0.0310844,0.0294698
15.41174,73.739568,XX,0.0483506,0.0291677,0.0229798
15.395823,73.778517,XX,0.0422145,0.0291677,0.0294698
15.395836,73.781032,XX,0.0437485,0.0291677,0.0262248
15.393791,73.778948,XX,0.0437485,0.0272509,0.0294698
15.394841,73.772652,XX,0.0422145,0.0253341,0.0229798
15.395373,73.770693,XX,0.0437485,0.0272509,0.0229798
15.39712,73.767887,XX,0.0437485,0.0272509,0.0262248
15.392814,73.773922,XX,0.0452826,0.0291677,0.0262248
15.392993,73.733252,XX,0.0468166,0.0310844,0.0262248
15.395465,73.762866,XX,0.0422145,0.0272509,0.0294698
15.410673,73.742649,XX,0.0452826,0.0253341,0.0229798
15.397707,73.751532,XX,0.0422145,0.0291677,0.0229798
15.39487,73.753506,XX,0.0437485,0.0291677,0.0262248
15.395482,73.76594,XX,0.0422145,0.0291677,0.0294698
15.397251,73.767048,XX,0.0437485,0.0272509,0.0262248
15.394177,73.775172,XX,0.0437485,0.0272509,0.0262248
15.399952,73.741037,XX,0.0437485,0.0291677,0.0229798
15.397641,73.739933,XX,0.0468166,0.0272509,0.0262248
15.39872,73.738808,XX,0.0468166,0.0291677,0.0197349
15.397009,73.748042,XX,0.0437485,0.0291677,0.0294698
15.411023,73.732724,XX,0.0468166,0.0291677,0.0229798
15.406108,73.750643,XX,0.0452826,0.0291677,0.0262248
15.413359,73.738161,XX,0.0452826,0.0291677,0.0229798
15.394836,73.747357,XX,0.0406805,0.0272509,0.0262248
15.394819,73.744422,XX,0.0437485,0.0272509,0.0229798
15.398265,73.754324,XX,0.0422145,0.0272509,0.0262248
15.405006,73.747575,XX,0.0452826,0.0272509,0.0262248
15.395666,73.750286,XX,0.0422145,0.0272509,0.0262248
15.398764,73.746634,XX,0.0437485,0.0310844,0.0229798
15.396492,73.752518,XX,0.0437485,0.0272509,0.0262248
15.406077,73.745193,XX,0.0452826,0.0272509,0.0229798
15.398709,73.736991,XX,0.0498846,0.0330012,0.0262248
15.415108,73.735774,XX,0.0452826,0.0291677,0.0229798
15.404496,73.753309,XX,0.0437485,0.0291677,0.0262248
15.396588,73.745529,XX,0.0422145,0.0253341,0.0229798
15.395197,73.739249,XX,0.0483506,0.0291677,0.0229798
15.414051,73.740672,XX,0.0468166,0.0291677,0.0294698
15.412344,73.750466,XX,0.0437485,0.0310844,0.0294698
15.39369,73.736602,XX,0.0468166,0.0291677,0.0197349
15.407797,73.737635,XX,0.0483506,0.0310844,0.0229798
15.411183,73.736916,XX,0.0452826,0.0291677,0.0262248
15.39694,73.735744,XX,0.0483506,0.0310844,0.0229798
15.40332,73.737103,XX,0.0514186,0.034918,0.0229798
15.413339,73.734667,XX,0.0468166,0.0272509,0.0262248
